device_id,device_type,firmware_version,connection_type,packet_count,avg_packet_size,bandwidth_usage_mb,failed_connection_attempts,unusual_port_access,protocol_type,login_attempts,encryption_used,anomaly_score,geo_location,traffic_spike_ratio,intrusion_label
D58,Sensor,v2.1,Ethernet,10401,942,3822.79,6,0,TCP,24,1,0.739,Asia,0.1,0
D59,Smart Plug,v1.1,5G,35649,1096,4835.91,16,0,UDP,12,1,0.959,Europe,4.78,0
D60,Sensor,v1.1,Ethernet,42951,476,188.19,18,0,TCP,9,1,0.144,South America,2.47,0
D61,Smart Plug,v1.1,Ethernet,11474,893,3404.3,19,0,HTTP,7,1,0.232,North America,0.12,1
D62,Smart Plug,v2.1,WiFi,34507,629,231.02,13,0,MQTT,13,1,0.371,Europe,1.26,1
D63,Sensor,v1.0,WiFi,46706,167,3912.46,5,1,UDP,15,1,0.051,Africa,4.4,0
D64,Sensor,v3.0,Ethernet,41841,1213,1910.94,6,0,UDP,25,0,0.061,South America,1.88,0
D65,Smart Plug,v2.0,Ethernet,14082,740,487.87,4,0,HTTP,29,1,0.904,Africa,3.45,0
D66,Camera,v1.0,WiFi,31358,1008,2844.55,18,1,MQTT,18,1,0.043,Africa,3.07,0
D67,Router,v2.0,5G,45752,333,1407.8,6,0,MQTT,29,1,0.75,South America,2.36,0
D68,Sensor,v3.0,5G,10348,529,3301.27,8,0,UDP,25,1,0.718,Africa,4.17,0
D69,Router,v2.1,5G,10615,864,3294.29,11,0,TCP,6,1,0.073,South America,0.2,0
D70,Camera,v1.1,Ethernet,35142,1205,3527.99,14,0,MQTT,11,1,0.188,Africa,4.56,1
D71,Camera,v1.1,WiFi,26909,1179,4962.4,14,0,UDP,12,1,0.455,North America,3.59,0
D72,Camera,v2.1,5G,10930,1068,1939.62,15,0,MQTT,14,1,0.642,North America,4.32,0
D73,Sensor,v1.0,WiFi,35348,1174,2331.92,19,0,HTTP,14,1,0.896,Europe,0.08,0
D74,Camera,v1.0,WiFi,6899,297,4025.01,14,0,MQTT,17,1,0.527,Africa,0.42,1
D75,Sensor,v2.0,Ethernet,8647,976,2896.07,4,0,TCP,1,1,0.936,North America,1.03,0
D76,Camera,v2.1,5G,31662,1211,195.91,11,0,TCP,13,1,0.19,North America,2.97,0
D77,Router,v1.0,WiFi,14428,1290,4216.96,3,0,TCP,19,1,0.623,North America,0.46,0
D78,Router,v2.1,Ethernet,12779,1119,266.98,2,0,UDP,25,1,0.845,Asia,4.66,0
D79,Smart Plug,v3.0,Ethernet,21158,420,862.39,0,0,MQTT,6,0,0.233,Africa,3.74,0
D80,Router,v1.1,Ethernet,32337,1027,519.38,12,0,TCP,19,1,0.789,Europe,4.04,1
D81,Smart Plug,v1.1,5G,46796,157,398.86,4,0,HTTP,1,0,0.4,North America,2.92,0
D82,Router,v1.1,5G,20006,1495,138.17,11,0,HTTP,27,0,1.0,South America,3.15,0
D83,Sensor,v2.1,Ethernet,43527,1187,284.59,1,0,HTTP,1,1,0.092,Asia,1.11,0
D84,Router,v2.1,5G,38972,307,2217.77,5,0,UDP,4,1,0.553,Africa,4.55,0
D85,Smart Plug,v2.0,5G,16647,121,1271.73,4,0,TCP,2,1,0.783,Europe,3.24,0
D86,Smart Plug,v1.1,WiFi,23406,1028,641.42,17,0,TCP,2,1,0.676,North America,2.09,0
D87,Camera,v2.0,Ethernet,28310,1444,3296.94,4,1,MQTT,0,0,0.506,South America,4.41,0
D88,Sensor,v1.1,Ethernet,45793,383,1138.3,17,0,UDP,18,1,0.513,Asia,4.32,0
D89,Router,v2.0,5G,28339,1106,104.56,15,0,HTTP,19,1,0.405,South America,0.0,0
D90,Camera,v2.0,Ethernet,27930,420,2097.91,16,0,MQTT,11,1,0.342,South America,4.62,0
D91,Router,v3.0,Ethernet,3481,180,1559.06,1,1,HTTP,21,1,0.594,Asia,1.82,0
D92,Router,v2.0,Ethernet,34932,1223,1599.84,16,0,HTTP,26,1,0.748,South America,2.11,0
D93,Camera,v2.1,5G,39457,359,2231.9,9,0,TCP,5,1,0.279,North America,0.43,0
D94,Camera,v2.0,5G,28941,588,3347.88,2,0,MQTT,27,1,0.947,Asia,4.39,0
D95,Camera,v1.1,5G,7547,1188,3086.23,13,0,UDP,20,1,0.365,Africa,2.7,0
D96,Camera,v2.0,WiFi,20468,1467,4686.94,18,0,HTTP,19,1,0.434,Asia,4.53,0
D97,Camera,v1.0,Ethernet,20371,1242,2593.41,11,0,TCP,5,0,0.411,Europe,3.9,0
D98,Router,v1.1,WiFi,439,1192,2368.12,0,0,TCP,12,1,0.111,North America,4.49,0
D99,Camera,v1.0,5G,20074,1215,1074.94,6,0,HTTP,28,1,0.116,Africa,4.74,0
D100,Sensor,v1.1,WiFi,26609,464,3779.35,6,0,TCP,20,1,0.795,North America,4.43,0
D101,Smart Plug,v2.1,Ethernet,37998,802,712.47,12,0,TCP,9,0,0.381,North America,1.05,0
D102,Camera,v2.1,Ethernet,26321,592,2460.75,8,0,HTTP,0,0,0.216,Asia,0.35,0
D103,Camera,v2.1,5G,27363,620,2112.4,4,0,UDP,15,0,0.708,Africa,3.1,0
D104,Router,v1.0,5G,7833,613,3294.92,3,1,HTTP,13,1,0.96,Asia,0.78,0
D105,Camera,v3.0,WiFi,45978,1211,4588.93,4,0,MQTT,27,1,0.937,Europe,4.32,0
D106,Camera,v1.1,5G,5149,423,4733.51,19,0,HTTP,17,1,0.723,Europe,4.74,0
D107,Camera,v2.1,WiFi,43186,127,847.32,11,0,HTTP,13,1,0.192,Europe,0.61,0
D108,Router,v1.1,Ethernet,45501,828,1316.47,7,0,UDP,24,1,0.154,Asia,1.18,0
D109,Camera,v1.0,Ethernet,21188,837,4060.06,12,0,HTTP,9,0,0.871,Asia,3.13,0
D110,Smart Plug,v3.0,Ethernet,15708,687,2596.22,3,1,HTTP,19,1,0.963,Europe,3.63,0
D111,Router,v1.0,Ethernet,738,165,2270.64,19,0,TCP,21,1,0.622,Asia,2.56,0
D112,Smart Plug,v1.1,Ethernet,7809,624,3556.02,10,0,HTTP,4,1,0.901,South America,1.85,0
D113,Router,v3.0,WiFi,5243,1364,3013.61,14,0,UDP,1,1,0.815,South America,1.53,0
D114,Camera,v3.0,Ethernet,1324,1314,4853.86,13,0,TCP,16,0,0.154,South America,3.33,1
D115,Smart Plug,v1.0,WiFi,47334,1110,2924.03,17,0,HTTP,0,1,0.223,North America,3.72,1
D116,Router,v2.1,Ethernet,48147,907,2335.21,19,0,TCP,0,1,0.068,Africa,1.44,1
D117,Sensor,v1.1,WiFi,44970,1151,2718.66,0,0,MQTT,5,1,0.474,Africa,1.63,0
D118,Camera,v2.0,WiFi,37113,1244,4044.61,0,0,HTTP,25,1,0.324,Africa,2.3,0
D119,Router,v2.0,WiFi,9841,1477,3067.25,10,0,HTTP,6,1,0.426,Europe,2.25,0
D120,Sensor,v1.0,5G,23091,1236,3238.77,19,1,TCP,6,1,0.009,South America,4.21,0
D121,Router,v1.1,WiFi,40275,902,4857.48,5,0,HTTP,24,1,0.721,South America,2.18,0
D122,Sensor,v1.1,WiFi,26181,1450,3095.79,4,0,HTTP,15,1,0.201,Asia,4.89,0
D123,Camera,v1.0,Ethernet,47658,744,1907.62,12,0,UDP,18,0,0.368,North America,1.55,0
D124,Smart Plug,v1.1,WiFi,15742,708,3459.72,9,0,HTTP,29,0,0.402,North America,3.46,0
D125,Sensor,v2.1,WiFi,9667,462,3300.7,5,0,UDP,8,1,0.066,South America,3.79,1
D126,Router,v1.0,5G,41727,468,79.1,3,0,MQTT,0,1,0.366,Asia,3.15,0
D127,Camera,v2.1,Ethernet,38636,889,2341.97,3,0,MQTT,17,0,0.9,South America,1.84,0
D128,Sensor,v1.1,5G,17499,1219,3717.09,6,0,TCP,6,1,0.893,Europe,1.29,0
D129,Router,v1.0,5G,33203,1284,2500.22,15,0,TCP,27,1,0.025,Europe,3.02,0
D130,Router,v1.1,5G,45821,710,3900.31,0,0,TCP,17,1,0.03,Africa,3.29,0
D131,Router,v1.0,WiFi,15430,98,2259.91,8,0,TCP,9,1,0.594,Africa,1.29,0
D132,Sensor,v1.1,5G,16564,483,4916.77,18,1,HTTP,26,1,0.205,South America,1.68,0
D133,Sensor,v2.1,5G,2234,440,1471.53,19,0,UDP,19,1,0.899,Africa,4.31,0
D134,Sensor,v2.1,Ethernet,49509,1486,469.69,14,1,TCP,1,1,0.483,South America,4.05,0
D135,Smart Plug,v1.1,Ethernet,29762,283,2155.76,8,0,MQTT,10,0,0.326,North America,0.92,0
D136,Sensor,v1.0,Ethernet,284,760,2713.13,19,0,HTTP,17,1,0.953,Europe,4.67,0
D137,Sensor,v2.0,Ethernet,30487,405,1751.98,0,0,UDP,10,1,0.318,Asia,3.14,0
D138,Sensor,v2.1,5G,49374,816,1218.98,0,0,UDP,13,1,0.321,Asia,2.48,0
D139,Smart Plug,v2.1,Ethernet,40924,479,3363.57,15,0,TCP,12,1,0.133,North America,1.0,0
D140,Sensor,v2.0,WiFi,7363,1384,1891.85,4,1,TCP,0,0,0.222,South America,3.65,0
D141,Router,v1.1,5G,13291,1001,3160.53,8,0,UDP,24,1,0.76,Europe,4.6,0
D142,Sensor,v1.0,Ethernet,3614,1418,3897.57,0,0,MQTT,9,1,0.76,South America,0.32,0
D143,Router,v1.1,5G,32834,1070,3807.4,18,0,TCP,14,1,0.387,South America,2.6,0
D144,Router,v3.0,Ethernet,6177,743,1882.79,15,0,UDP,18,1,0.349,North America,4.39,0
D145,Router,v2.1,5G,35220,1426,2843.81,2,0,HTTP,28,1,0.418,North America,4.76,0
D146,Smart Plug,v3.0,Ethernet,48584,811,2253.79,3,0,UDP,16,0,0.301,Africa,0.36,0
D147,Smart Plug,v2.1,WiFi,9600,869,4355.32,11,0,TCP,9,1,0.608,North America,3.96,0
D148,Smart Plug,v2.1,Ethernet,15092,1385,4395.0,6,0,HTTP,21,1,0.837,Africa,1.41,0
D149,Sensor,v3.0,5G,10233,375,1725.27,14,0,MQTT,7,1,0.009,Asia,2.71,0
D150,Router,v3.0,5G,6505,118,467.77,14,1,UDP,22,0,0.936,Africa,3.92,1
D151,Smart Plug,v1.1,WiFi,30369,757,846.24,4,0,UDP,6,0,0.118,Africa,2.73,0
D152,Smart Plug,v3.0,5G,16974,597,1841.34,1,0,UDP,17,1,0.9,Asia,0.55,0
D153,Sensor,v1.1,WiFi,31557,168,2825.61,11,0,HTTP,26,1,0.234,Europe,2.95,0
D154,Smart Plug,v1.1,5G,17185,1262,3287.37,18,0,TCP,3,1,0.917,South America,0.59,0
D155,Sensor,v1.1,5G,35802,357,1663.54,4,0,UDP,5,0,0.787,South America,1.74,0
D156,Camera,v2.1,WiFi,14447,943,3340.82,2,0,HTTP,1,1,0.269,North America,2.79,0
D157,Smart Plug,v2.1,5G,13602,614,4689.32,5,0,UDP,12,1,0.028,North America,4.96,0
D158,Camera,v3.0,5G,46579,974,3263.55,12,0,TCP,20,1,0.716,Europe,3.63,0
D159,Sensor,v2.1,WiFi,13948,438,801.24,19,0,HTTP,11,0,0.822,North America,1.52,0
D160,Router,v3.0,Ethernet,22521,513,2902.55,14,0,MQTT,4,1,0.68,South America,4.38,1
D161,Smart Plug,v2.1,WiFi,14526,1147,2714.06,3,1,UDP,18,0,0.382,Africa,1.13,0
D162,Sensor,v1.0,5G,4795,1479,4354.79,19,0,TCP,1,1,0.127,Africa,1.92,0
D163,Router,v1.0,Ethernet,49071,875,1758.01,6,0,MQTT,10,1,0.347,North America,3.24,0
D164,Router,v3.0,Ethernet,15960,453,2120.5,17,0,TCP,22,0,0.269,South America,2.05,0
D165,Camera,v2.1,Ethernet,46965,1299,2997.31,6,0,MQTT,7,1,0.723,Asia,3.65,0
D166,Sensor,v2.1,WiFi,47504,730,2626.88,11,0,TCP,3,0,0.159,Asia,3.25,0
D167,Router,v1.1,Ethernet,25810,1327,3597.89,10,1,MQTT,3,1,0.82,Africa,3.34,0
D168,Smart Plug,v2.0,Ethernet,25511,1209,211.54,11,0,HTTP,10,1,0.612,South America,2.1,0
D169,Smart Plug,v3.0,Ethernet,8943,1340,2821.94,14,1,MQTT,13,1,0.483,Africa,0.28,0
D170,Camera,v2.0,5G,31252,204,617.14,7,0,TCP,8,1,0.36,South America,4.36,0
D171,Router,v2.0,WiFi,49668,937,1582.89,10,0,UDP,19,1,0.507,Asia,0.37,0
D172,Sensor,v3.0,WiFi,15673,1240,3311.52,17,0,MQTT,25,1,0.54,North America,2.32,0
D173,Smart Plug,v2.1,5G,38434,1395,795.5,9,0,TCP,13,1,0.237,Europe,1.51,0
D174,Router,v3.0,Ethernet,30837,1404,1551.12,7,0,UDP,27,1,0.989,North America,1.48,0
D175,Router,v2.0,5G,38867,1383,3518.0,5,0,HTTP,2,1,0.91,South America,1.13,0
D176,Camera,v2.1,5G,28356,906,3257.52,2,1,HTTP,26,1,0.391,Africa,1.36,0
D177,Smart Plug,v1.0,Ethernet,36734,1432,464.29,19,0,UDP,12,1,0.254,Africa,4.78,0
D178,Smart Plug,v3.0,Ethernet,41805,660,2890.57,11,0,TCP,13,1,0.307,Asia,4.86,0
D179,Sensor,v3.0,WiFi,2102,1369,744.8,16,0,TCP,16,1,0.98,Asia,2.85,0
D180,Smart Plug,v2.1,Ethernet,16723,1295,1268.83,2,0,MQTT,2,1,0.407,North America,2.62,0
D181,Sensor,v1.0,5G,41915,1015,2301.46,19,0,HTTP,14,0,0.912,North America,0.24,0
D182,Smart Plug,v1.0,5G,48793,615,555.64,17,0,HTTP,20,1,0.059,Europe,4.02,0
D183,Camera,v2.1,Ethernet,22351,1183,4968.3,11,0,HTTP,28,1,0.777,South America,0.85,0
D184,Smart Plug,v1.1,WiFi,12807,436,835.19,15,0,HTTP,1,1,0.762,North America,0.71,0
D185,Sensor,v3.0,5G,24217,711,3908.75,9,0,TCP,20,1,0.651,North America,2.12,0
D186,Sensor,v3.0,Ethernet,22843,1160,4150.9,18,0,HTTP,24,1,0.121,Asia,1.74,1
D187,Camera,v2.0,WiFi,10890,396,4972.38,8,0,UDP,9,1,0.981,South America,0.48,0
D188,Smart Plug,v2.1,WiFi,48169,456,2148.98,13,0,TCP,26,1,0.213,Asia,0.74,0
D189,Smart Plug,v2.0,5G,32720,1193,4371.73,19,0,UDP,21,1,0.71,Europe,4.96,0
D190,Camera,v2.0,5G,15696,1188,4788.12,13,0,UDP,14,1,0.751,North America,3.67,0
D191,Smart Plug,v1.0,WiFi,30439,1446,872.74,3,0,TCP,18,1,0.76,North America,2.99,0
D192,Smart Plug,v3.0,WiFi,34221,1416,2402.39,14,0,UDP,20,0,0.826,North America,1.52,1
D193,Sensor,v2.0,WiFi,43095,458,309.45,19,0,UDP,11,1,0.989,Africa,2.14,0
D194,Smart Plug,v1.0,Ethernet,48696,98,3107.41,1,0,MQTT,16,1,0.096,South America,3.14,0
D195,Smart Plug,v2.1,5G,49931,220,2911.22,17,0,HTTP,15,1,0.472,Asia,3.92,0
D196,Camera,v2.0,WiFi,41546,967,1028.59,1,0,UDP,7,1,0.975,Asia,4.73,0
D197,Camera,v3.0,5G,45778,1360,3991.53,17,0,MQTT,24,0,0.882,Asia,0.61,0
D198,Router,v2.0,5G,20798,1030,195.97,7,0,MQTT,4,1,0.991,Europe,0.96,0
D199,Sensor,v2.1,5G,39732,459,4033.07,9,1,HTTP,24,1,0.582,Africa,2.84,0
D200,Smart Plug,v2.0,WiFi,14816,270,142.96,19,1,MQTT,23,1,0.673,Europe,4.69,0
D201,Smart Plug,v3.0,Ethernet,30906,684,3287.58,3,0,MQTT,14,1,0.264,South America,2.26,0
D202,Router,v1.0,WiFi,17968,1393,403.06,9,0,UDP,7,1,0.458,Asia,3.17,0
D203,Smart Plug,v3.0,5G,48018,868,1263.62,9,0,HTTP,17,1,0.021,Asia,1.47,0
D204,Sensor,v1.0,WiFi,31230,525,3612.35,2,0,HTTP,20,1,0.72,Asia,4.06,0
D205,Router,v1.1,WiFi,49942,315,1409.22,3,1,UDP,27,1,0.926,North America,3.03,0
D206,Sensor,v3.0,5G,6225,1354,2560.76,9,0,TCP,7,1,0.112,North America,1.91,0
D207,Router,v3.0,5G,42072,930,4577.09,6,0,MQTT,18,1,0.454,Asia,2.71,0
D208,Router,v2.1,WiFi,35215,272,257.68,11,1,UDP,16,1,0.623,Asia,3.47,0
D209,Camera,v2.0,WiFi,47611,1018,4057.29,6,0,MQTT,29,1,0.632,North America,1.07,0
D210,Sensor,v1.0,WiFi,36576,602,335.71,12,0,HTTP,26,1,0.307,Europe,1.71,0
D211,Smart Plug,v1.0,WiFi,29146,898,642.71,7,0,HTTP,3,1,0.02,Africa,1.25,0
D212,Smart Plug,v2.1,Ethernet,22860,566,605.4,12,0,MQTT,3,1,0.888,Europe,4.8,1
D213,Sensor,v2.1,WiFi,10214,1019,4970.57,0,0,HTTP,25,1,0.092,Africa,0.21,0
D214,Smart Plug,v2.0,Ethernet,737,577,909.13,15,0,HTTP,19,1,0.178,North America,0.28,0
D215,Smart Plug,v2.0,5G,38734,643,4484.84,18,0,TCP,19,1,0.963,Asia,1.78,0
D216,Sensor,v3.0,Ethernet,23277,1235,4954.75,18,0,HTTP,8,1,0.5,Asia,2.69,0
D217,Router,v1.1,5G,35876,903,1925.09,12,0,HTTP,26,1,0.874,Asia,1.64,0
D218,Sensor,v2.0,Ethernet,23700,1049,3158.93,6,0,MQTT,13,1,0.897,Europe,4.28,1
D219,Router,v2.1,5G,16351,146,3897.67,14,0,UDP,0,0,0.989,Asia,0.85,0
D220,Smart Plug,v2.0,WiFi,26909,1129,1969.3,5,0,HTTP,8,1,0.041,Africa,1.82,0
D221,Smart Plug,v1.0,Ethernet,23856,219,817.45,3,0,HTTP,22,1,0.053,Asia,2.44,0
D222,Smart Plug,v1.1,Ethernet,38468,516,2174.48,19,0,UDP,12,1,0.191,North America,1.01,0
D223,Camera,v3.0,5G,11749,1371,3861.72,10,0,UDP,29,1,0.656,Asia,1.45,1
D224,Router,v1.0,5G,11466,1275,3906.01,18,0,UDP,20,1,0.262,Europe,4.74,1
D225,Camera,v1.0,Ethernet,11980,680,1160.39,1,0,MQTT,17,1,0.496,Europe,2.6,0
D226,Camera,v1.1,5G,17883,687,883.08,16,0,HTTP,29,0,0.786,North America,4.35,0
D227,Sensor,v3.0,WiFi,22326,570,4603.6,14,0,HTTP,9,0,0.186,South America,1.35,0
D228,Camera,v2.1,Ethernet,41309,1220,229.56,19,0,UDP,27,1,0.286,Europe,3.06,0
D229,Sensor,v3.0,WiFi,5420,1358,3676.34,17,0,TCP,25,1,0.728,South America,3.82,0
D230,Sensor,v2.0,Ethernet,8827,685,241.64,11,0,MQTT,25,1,0.008,North America,2.11,0
D231,Camera,v1.0,WiFi,11824,1160,4191.12,2,1,UDP,3,1,0.757,Asia,3.12,0
D232,Router,v2.0,Ethernet,39311,356,4528.02,16,0,UDP,26,1,0.676,South America,4.32,0
D233,Router,v2.1,5G,20033,718,1494.12,13,1,HTTP,14,1,0.13,North America,0.7,0
D234,Router,v2.0,Ethernet,13494,1000,378.94,5,0,TCP,3,1,0.244,South America,1.77,0
D235,Router,v3.0,WiFi,39820,820,2408.62,3,1,MQTT,19,1,0.015,South America,4.12,0
D236,Router,v2.0,Ethernet,41517,1059,1499.33,7,0,TCP,10,1,0.581,Asia,1.15,0
D237,Camera,v2.1,WiFi,19222,730,2091.51,19,1,TCP,11,1,0.397,Europe,2.78,0
D238,Camera,v2.1,WiFi,36237,123,3328.28,2,0,HTTP,12,1,0.423,South America,2.19,1
D239,Smart Plug,v2.1,WiFi,31537,390,1057.03,7,0,UDP,1,0,0.103,Africa,3.32,1
D240,Router,v3.0,5G,20619,1269,1791.19,12,0,UDP,7,1,0.352,Asia,3.34,0
D241,Camera,v2.1,Ethernet,8083,862,3914.99,18,1,TCP,3,1,0.919,Africa,2.89,0
D242,Smart Plug,v1.0,WiFi,44756,848,3222.37,14,0,MQTT,8,1,0.065,Asia,4.73,0
D243,Router,v2.1,5G,5735,830,1638.11,6,0,MQTT,1,0,0.975,Asia,0.88,0
D244,Sensor,v2.0,WiFi,36937,582,3324.86,2,0,HTTP,22,1,0.848,Europe,4.18,0
D245,Smart Plug,v2.0,Ethernet,39119,701,3828.91,18,0,MQTT,4,1,0.203,Africa,2.45,0
D246,Camera,v2.0,5G,44447,146,2966.5,9,1,HTTP,4,1,0.705,South America,3.31,0
D247,Sensor,v3.0,WiFi,19722,91,1205.09,15,0,TCP,22,1,0.091,Asia,1.37,0
D248,Sensor,v2.0,WiFi,38605,329,11.22,13,0,MQTT,3,1,0.16,Africa,0.47,0
D249,Sensor,v3.0,WiFi,9539,1370,4016.22,7,0,UDP,18,1,0.488,Africa,3.89,0
D250,Smart Plug,v3.0,Ethernet,28009,460,4114.94,10,0,TCP,8,1,0.4,Europe,1.26,0
D251,Camera,v2.1,5G,35441,1025,3491.05,18,1,HTTP,11,1,0.815,Africa,1.95,0
D252,Sensor,v1.0,5G,32993,826,392.14,1,0,TCP,2,1,0.939,South America,0.24,0
D253,Router,v2.1,5G,42289,1043,2930.26,4,0,TCP,4,1,0.943,Africa,3.25,0
D254,Sensor,v2.1,WiFi,11503,1470,4106.89,10,0,HTTP,1,1,0.147,Europe,3.44,0
D255,Sensor,v3.0,5G,34174,874,1954.44,6,0,MQTT,22,1,0.686,Asia,4.51,0
D256,Smart Plug,v3.0,WiFi,34969,644,998.02,7,0,MQTT,12,1,0.571,Africa,4.46,0
